Home,Location,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
442,442,504,505,507,1221,1136,1633,1036,450,401
443,443,444,609,359,651,999,1504,1229,465,463
444,444,545,881,497,947,975,1772,1641,578,415
445,445,515,820,415,854,1062,1509,1250,626,589
446,446,811,1059,460,918,1469,2011,1514,614,419
447,447,651,848,443,977,1237,1609,1577,801,687
448,448,987,1334,687,1292,1701,2286,1726,655,480
449,449,602,753,399,844,1065,1614,1515,768,708
450,450,545,778,422,689,1025,1451,1205,584,536
451,451,610,656,311,779,1485,1801,1640,911,863
452,452,386,538,333,701,696,1294,1638,1014,908
453,453,609,836,386,828,1151,1866,1717,965,773
454,454,698,916,459,1044,1462,2053,1879,927,876
455,455,707,849,422,880,1380,1822,1540,721,751
456,456,546,747,376,851,1447,1926,1842,1050,1061
457,457,807,876,347,996,2317,2158,1365,621,663
458,458,557,757,439,913,1217,1927,1820,996,854
459,459,237,361,234,602,538,920,1304,833,763
460,460,740,852,399,905,1829,1978,1565,602,504
461,461,1125,1250,563,1310,2354,2597,1932,753,741
462,462,453,607,341,800,854,1414,1550,821,1135
463,463,299,524,329,588,525,1297,1288,743,855
464,464,477,530,271,722,1169,1397,1580,842,921
465,465,423,600,358,914,1051,1481,1921,815,719
466,466,544,699,382,824,1177,1763,1661,738,772
467,467,409,480,270,733,940,1369,1644,791,848
468,468,288,600,377,745,505,1421,1742,1080,924
469,469,376,518,271,701,806,1278,1642,935,693
470,470,652,801,362,825,1174,1662,1631,724,716
471,471,532,702,354,800,1058,1434,1474,762,834
472,472,721,1009,527,1041,1363,1963,1721,721,698
473,473,335,506,279,646,779,1065,1379,722,736
474,474,563,719,335,722,1027,1346,1190,426,445
475,475,401,597,295,481,690,1495,1624,876,870
476,476,701,899,363,775,1423,2260,1647,923,945
477,477,458,604,365,572,920,1410,1497,734,659
478,478,604,818,371,770,1105,1907,1768,730,785
479,479,324,521,240,470,652,1196,1209,717,527
480,480,381,629,318,638,744,1409,1589,741,831
481,481,445,584,313,657,994,1541,1647,845,868
482,482,550,731,329,636,932,1788,1568,806,671
483,483,674,771,324,642,1242,1904,1293,592,720
484,484,626,757,404,782,1359,1943,1653,635,542
485,485,421,673,330,584,657,1523,1451,724,765
486,486,364,571,379,705,716,1509,1648,862,771
487,487,595,846,400,788,1116,1722,1346,577,475
488,488,720,693,360,3283,2012,2049,1131,517,450
489,489,607,694,336,3997,2296,1738,1136,484,351
490,490,549,797,397,1116,1181,1757,1544,703,642
491,491,612,949,530,1152,1312,1910,1794,610,645
492,492,638,884,411,1044,1336,1730,1361,523,489
493,493,890,1291,596,924,1580,2138,1387,437,339
494,494,819,1122,575,955,1580,2436,1669,554,517
495,495,997,1103,412,1533,2238,2421,1730,631,492
496,496,767,1005,430,788,1430,2115,1449,461,318
