Home,Location,S(0-49),E(0-49),I(0-49),R(0-49),S(50+),E(50+),I(50+),R(50+)
560,560,4103,0,0,0,2519,0,0,0
561,561,4956,0,0,0,2311,0,0,0
562,562,4498,0,0,0,2458,0,0,0
563,563,5312,0,0,0,2731,0,0,0
564,564,5240,0,0,0,2784,0,0,0
565,565,5395,0,0,0,2268,0,0,0
566,566,4881,0,0,0,2553,0,0,0
567,567,4938,0,0,0,2918,0,0,0
568,568,6571,0,0,0,2113,0,0,0
569,569,4079,0,0,0,2782,0,0,0
570,570,4823,0,0,0,2000,0,0,0
571,571,4850,0,0,0,2057,0,0,0
572,572,5839,0,0,0,2249,0,0,0
573,573,4233,0,0,0,3547,0,0,0
574,574,4779,0,0,0,2728,0,0,0
575,575,5280,0,0,0,2420,0,0,0
576,576,4649,0,0,0,2584,0,0,0
577,577,5279,0,0,0,2917,0,0,0
578,578,5393,0,0,0,3059,0,0,0
579,579,7130,0,0,0,2423,0,0,0
580,580,10005,0,0,0,3054,0,0,0
581,581,9207,0,0,0,2385,0,0,0
582,582,6427,0,0,0,2390,0,0,0
583,583,6401,0,0,0,2928,0,0,0
584,584,5297,0,0,0,3041,0,0,0
585,585,8546,0,0,0,2633,0,0,0
586,586,6169,0,0,0,1835,0,0,0
587,587,5950,0,0,0,1622,0,0,0
588,588,4621,0,0,0,3071,0,0,0
589,589,5873,0,0,0,2218,0,0,0
590,590,4364,0,0,0,2996,0,0,0
591,591,4813,0,0,0,3369,0,0,0
592,592,5830,0,0,0,2498,0,0,0
593,593,6298,0,0,0,2777,0,0,0
594,594,4920,0,0,0,2798,0,0,0
595,595,3861,0,0,0,2142,0,0,0
596,596,5922,0,0,0,3008,0,0,0
597,597,6438,0,0,0,2656,0,0,0
598,598,8080,0,0,0,2436,0,0,0
599,599,9160,0,0,0,2564,0,0,0
600,600,6997,0,0,0,1972,0,0,0
601,601,5851,0,0,0,2264,0,0,0
602,602,7027,0,0,0,1886,0,0,0
603,603,6533,0,0,0,1852,0,0,0
604,604,6282,0,0,0,2155,0,0,0
605,605,8004,0,0,0,1993,0,0,0
606,606,7375,0,0,0,2389,0,0,0
607,607,7487,0,0,0,1778,0,0,0
608,608,6411,0,0,0,1652,0,0,0
609,609,7117,0,0,0,2314,0,0,0
610,610,8011,0,0,0,1369,0,0,0
611,611,7187,0,0,0,1982,0,0,0
612,612,5275,0,0,0,1605,0,0,0
613,613,7264,0,0,0,1964,0,0,0
614,614,6566,0,0,0,1662,0,0,0
615,615,7204,0,0,0,1841,0,0,0
616,616,8626,0,0,0,2212,0,0,0
617,617,6345,0,0,0,1910,0,0,0
618,618,7845,0,0,0,2008,0,0,0
619,619,6661,0,0,0,2084,0,0,0
620,620,7280,0,0,0,2576,0,0,0
621,621,7541,0,0,0,2020,0,0,0
