,st_areasha
914,834875.1853125
915,1322445.8491385
916,1394618.55959
917,858833.2861245
918,489807.3839685
919,558680.068537
920,690933.169971
921,453907.449196
922,557918.7768475
923,854281.443922
924,746179.270644
925,895100.608425
926,517991.6887245
927,920274.412701
928,813008.6276335
929,694009.429459
930,488193.920459
931,504638.986871
932,487846.54634
933,560172.590752
934,1412888.142668
935,612065.485539
936,539295.0027455
937,1093392.8270565
938,540861.6987705
939,1289096.0911505
940,543962.802609
941,690001.3335435
942,484680.212251
943,461826.688755
944,2518770.385515
945,3589007.129024
946,1397778.16977
947,446786.7334095
948,363726.35804
949,656821.1628025
950,374386.313624
951,2597369.9280135
952,940579.2409925
953,1443607.148908
954,1367629.2190425
955,1243630.4722395
956,1506842.4852215
957,1394143.959123
958,22448181.3793955
959,685742.7749355
960,1449703.5279625
961,981768.957543
962,696110.6152965
963,962237.80595
964,4306265.8022975
965,826571.5112475
966,1165131.152701
967,1648204.772637
968,1138728.9818475
969,691175.2850425
970,3331296.686343
971,500908.204621
972,917334.661656
973,2130356.110372
974,521710.2162435
975,457093.2047645
976,2404059.1589365
977,2477292.782666
978,2528268.4794755
979,540599.651653
980,2546627.1391805
981,867883.176118
982,1986049.0398565
